t,motion_raw,motion_smooth,is_boundary
4358,0.026492,0.028128,0
4359,0.026500,0.027902,0
4360,0.030078,0.027480,0
4361,0.027471,0.027097,0
4362,0.027720,0.026669,0
4363,0.030322,0.025768,0
4364,0.026167,0.026470,0
4365,0.026214,0.026401,0
4366,0.026171,0.026261,0
4367,0.024240,0.026123,0
4368,0.025259,0.026668,0
4369,0.025175,0.026637,0
4370,0.025285,0.026584,0
4371,0.027710,0.026504,0
4372,0.025183,0.026470,0
4373,0.025033,0.026432,0
4374,0.024980,0.026350,0
4375,0.028057,0.025462,0
4376,0.025680,0.025772,0
4377,0.025851,0.025973,0
4378,0.035775,0.025995,0
4379,0.025667,0.026388,0
4380,0.025812,0.026604,0
4381,0.025842,0.026809,0
4382,0.024744,0.027019,0
4383,0.025580,0.027081,0
4384,0.025573,0.027153,0
4385,0.025634,0.027190,0
4386,0.025610,0.027021,0
4387,0.024872,0.027187,0
4388,0.024633,0.027220,0
4389,0.024702,0.027217,0
4390,0.043768,0.027020,0
4391,0.025781,0.027165,0
4392,0.025691,0.027178,0
4393,0.030309,0.026366,0
4394,0.026516,0.027158,0
4395,0.026425,0.027483,0
4396,0.026434,0.027777,0
4397,0.025984,0.028041,0
4398,0.026419,0.028190,0
4399,0.026494,0.028316,0
4400,0.026485,0.028400,0
4401,0.030905,0.028215,0
4402,0.026898,0.028299,0
4403,0.026854,0.028283,0
4404,0.026737,0.028184,0
4405,0.030445,0.027898,0
4406,0.026682,0.028831,0
4407,0.026711,0.028972,0
4408,0.046189,0.028710,0
4409,0.027019,0.029081,0
4410,0.027277,0.029255,0
4411,0.027287,0.029373,0
4412,0.027145,0.029229,0
4413,0.027425,0.029315,0
4414,0.027749,0.029351,0
4415,0.027790,0.029318,0
4416,0.033416,0.028949,0
4417,0.027759,0.029139,0
4418,0.027900,0.029097,0
4419,0.028024,0.028985,0
4420,0.030995,0.027314,0
4421,0.026924,0.027904,0
4422,0.026829,0.028194,0
4423,0.035024,0.028235,0
4424,0.027355,0.029409,0
4425,0.027220,0.029688,0
4426,0.027229,0.029890,0
4427,0.032327,0.029843,0
4428,0.026639,0.029926,0
4429,0.026625,0.029935,0
4430,0.026738,0.029878,0
4431,0.033268,0.029623,0
4432,0.026493,0.029758,0
4433,0.026512,0.029596,0
4434,0.026566,0.029392,0
4435,0.062808,0.029112,0
4436,0.024171,0.029010,0
4437,0.024417,0.028695,0
4438,0.027370,0.028168,0
4439,0.024657,0.028261,0
4440,0.024880,0.027993,0
4441,0.024844,0.027683,0
4442,0.028784,0.026967,0
4443,0.024764,0.026992,0
4444,0.024746,0.026774,0
4445,0.024800,0.026497,0
4446,0.027852,0.026217,0
4447,0.025520,0.026221,0
4448,0.025747,0.025899,0
4449,0.025793,0.025524,0
4450,0.026711,0.024916,0
4451,0.025846,0.026608,0
4452,0.025676,0.026657,0
4453,0.029422,0.026348,0
4454,0.025678,0.026550,0
4455,0.025825,0.026577,0
4456,0.025765,0.026581,0
4457,0.034780,0.026398,0
4458,0.026104,0.026586,0
4459,0.025300,0.026584,0
4460,0.025378,0.026549,0
4461,0.024382,0.026372,0
4462,0.024932,0.026455,0
4463,0.024857,0.026440,0
4464,0.025002,0.026417,0
4465,0.029643,0.026121,0
4466,0.024292,0.026187,0
4467,0.024274,0.026204,0
4468,0.031949,0.026068,0
4469,0.024987,0.026289,0
4470,0.025492,0.026335,0
4471,0.025432,0.026368,0
4472,0.029090,0.026300,0
4473,0.025918,0.026824,0
4474,0.025779,0.026978,0
4475,0.025721,0.027084,0
4476,0.028385,0.027138,0
4477,0.026347,0.027198,0
4478,0.025989,0.027238,0
4479,0.025957,0.027225,0
4480,0.032193,0.026959,0
4481,0.026423,0.027147,0
4482,0.026332,0.027058,0
4483,0.029368,0.026605,0
4484,0.026404,0.027028,0
4485,0.026399,0.027159,0
4486,0.026385,0.027247,0
4487,0.028279,0.027293,0
4488,0.026454,0.027434,0
4489,0.026601,0.027404,0
4490,0.026455,0.027313,0
4491,0.027285,0.027131,0
4492,0.025480,0.027103,0
4493,0.025372,0.026957,0
4494,0.025360,0.026753,0
4495,0.030486,0.026474,0
4496,0.026451,0.026565,0
4497,0.026760,0.026385,0
4498,0.034544,0.025970,0
4499,0.025471,0.025968,0
4500,0.024260,0.025834,0
4501,0.024200,0.025683,0
4502,0.023532,0.025488,0
4503,0.024422,0.025449,0
4504,0.024213,0.025334,0
4505,0.024278,0.025213,0
4506,0.025183,0.024846,0
4507,0.024224,0.024834,0
4508,0.024131,0.024721,0
4509,0.024160,0.024580,0
4510,0.024946,0.024308,0
4511,0.023911,0.024462,0
4512,0.024047,0.024438,0
4513,0.029072,0.024191,0
4514,0.024452,0.024652,0
4515,0.024335,0.024757,0
4516,0.024403,0.024814,0
4517,0.025147,0.024808,0
4518,0.023977,0.024840,0
4519,0.023735,0.024896,0
4520,0.023761,0.024933,0
4521,0.029342,0.024894,0
4522,0.023687,0.024995,0
4523,0.023712,0.025050,0
4524,0.023669,0.025085,0
4525,0.026269,0.024905,0
4526,0.023347,0.025025,0
4527,0.023521,0.025078,0
4528,0.029374,0.025026,0
4529,0.025141,0.025371,0
4530,0.025169,0.025504,0
4531,0.025111,0.025603,0
4532,0.026457,0.025660,0
4533,0.024957,0.025775,0
4534,0.025115,0.025805,0
4535,0.025167,0.025780,0
4536,0.026874,0.025639,0
4537,0.025141,0.025847,0
4538,0.025019,0.025788,0
4539,0.025059,0.025701,0
4540,0.029937,0.025369,0
4541,0.025042,0.025482,0
4542,0.025046,0.025405,0
4543,0.027130,0.025069,0
4544,0.024517,0.025288,0
4545,0.024469,0.025318,0
4546,0.024530,0.025336,0
4547,0.024979,0.025034,0
4548,0.024113,0.025229,0
4549,0.024103,0.025320,0
4550,0.024150,0.025392,0
4551,0.025986,0.024387,0
4552,0.024835,0.024843,0
4553,0.024949,0.025197,0
4554,0.024943,0.025499,0
4555,0.030121,0.023873,0
4556,0.023948,0.025035,0
